order_id,order_date,customer_name,product_name,category,quantity,unit_price,total_amount,warehouse,region,payment_status,order_status,dispatch_date,delivery_date
18,2025-02-02,Customer_122,Ice Cream,Foods,3,500,1500.0,WH-C,Chattogram,Pending,Dispatched,2025-02-04,2025-02-10
19,2025-03-21,Customer_167,Shampoo,Personal Care,18,180,3240.0,WH-B,Rajshahi,Failed,Dispatched,2025-03-25,2025-03-31
20,2025-01-17,Customer_151,Soap,Personal Care,8,180,1440.0,WH-C,Chattogram,Failed,Pending,2025-01-20,2025-01-21
21,2025-02-28,Customer_221,Soap,Personal Care,3,120,360.0,WH-B,Dhaka,Failed,Pending,2025-03-01,2025-03-02
22,2025-05-19,Customer_240,Toothpaste,Personal Care,16,180,2880.0,WH-C,Sylhet,Pending,Pending,2025-05-21,2025-05-27
23,2025-02-18,Customer_169,Ice Cream,Foods,16,350,,WH-B,Khulna,Pending,Dispatched,2025-02-19,2025-02-20
24,2025-01-16,Customer_87,Detergent,Home Care,2,120,240.0,WH-A,Chattogram,Paid,Pending,2025-01-20,2025-01-26
25,2025-04-19,Customer_119,Lotion,Beauty,15,180,2700.0,WH-A,Dhaka,Pending,Delivered,2025-04-21,2025-04-24
26,2025-01-24,Customer_105,Soap,Personal Care,18,120,2160.0,WH-B,Rajshahi,Paid,Dispatched,2025-01-26,2025-01-28
27,2025-01-01,Customer_238,Soap,Personal Care,6,350,2100.0,WH-B,Khulna,Pending,Dispatched,2025-01-05,2025-01-08
28,2025-02-25,Customer_189,Shampoo,Personal Care,7,250,1750.0,WH-C,Dhaka,Failed,Cancelled,2025-02-26,2025-03-03
29,2025-05-03,Customer_136,Soap,Personal Care,2,500,1000.0,WH-A,Dhaka,Failed,Delivered,2025-05-08,2025-05-15
30,2025-06-02,Customer_221,Ice Cream,Foods,6,120,720.0,WH-A,Rajshahi,Paid,Pending,2025-06-03,2025-06-09
31,2025-06-08,Customer_169,Lotion,Beauty,20,120,2400.0,WH-C,Sylhet,Failed,Cancelled,2025-06-09,2025-06-13
32,2025-03-03,Customer_34,Toothpaste,Personal Care,7,250,1750.0,WH-C,Khulna,Pending,Cancelled,2025-03-06,2025-03-10
33,2025-04-28,Customer_26,Ice Cream,Foods,3,120,360.0,WH-A,Sylhet,Paid,Cancelled,2025-05-03,2025-05-08
34,2025-03-04,Customer_41,Shampoo,Personal Care,12,120,1440.0,WH-B,Sylhet,Failed,Cancelled,2025-03-07,2025-03-10
35,2025-06-20,Customer_239,Lotion,Beauty,17,120,2040.0,WH-C,Dhaka,Paid,Cancelled,2025-06-25,2025-06-28
36,2025-02-09,Customer_155,Soap,Personal Care,4,500,2000.0,WH-A,Khulna,,Cancelled,2025-02-12,2025-02-15
37,2025-01-14,Customer_109,Lotion,Beauty,16,250,4000.0,WH-B,Dhaka,Paid,Cancelled,2025-01-15,2025-01-21
38,2025-02-11,Customer_181,Ice Cream,Foods,5,250,1250.0,WH-B,Sylhet,Paid,Delivered,2025-02-15,2025-02-20
39,2025-01-10,Customer_142,Soap,Personal Care,5,500,2500.0,WH-A,Rajshahi,Paid,Delivered,2025-01-13,2025-01-18
40,2025-04-02,Customer_64,Toothpaste,Personal Care,12,120,1440.0,,Dhaka,Pending,Dispatched,2025-04-04,2025-04-10
41,2025-02-11,Customer_7,Lotion,Beauty,5,180,900.0,WH-A,Khulna,Pending,Pending,2025-02-13,2025-02-17
42,2025-04-08,Customer_121,Toothpaste,Personal Care,6,120,720.0,WH-A,Chattogram,Pending,Cancelled,2025-04-09,2025-04-16
43,2025-01-07,Customer_85,Toothpaste,Personal Care,8,180,1440.0,WH-B,Dhaka,Pending,Cancelled,2025-01-09,2025-01-13
44,2025-06-23,Customer_241,Tea,Foods,17,350,5950.0,WH-A,Dhaka,Pending,Pending,2025-06-28,2025-07-01
45,2025-01-28,Customer_89,Lotion,Beauty,9,120,1080.0,WH-C,Khulna,Pending,Delivered,2025-02-02,2025-02-06
46,2025-03-07,Customer_112,Detergent,Home Care,19,180,3420.0,,Sylhet,Failed,Pending,2025-03-08,2025-03-14
47,2025-06-20,Customer_81,Toothpaste,Personal Care,14,120,1680.0,WH-C,Dhaka,Failed,Cancelled,2025-06-23,2025-06-28
48,2025-03-25,Customer_76,Lotion,Beauty,10,350,3500.0,WH-C,Chattogram,Paid,Dispatched,2025-03-29,2025-04-04
49,2025-06-07,Customer_104,Tea,Foods,13,180,2340.0,WH-C,Dhaka,Pending,Cancelled,2025-06-12,2025-06-15
50,2025-06-05,Customer_114,Shampoo,Personal Care,14,500,7000.0,WH-B,Chattogram,Failed,Dispatched,2025-06-08,2025-06-12
51,2025-03-14,Customer_163,Ice Cream,Foods,6,120,,WH-C,Khulna,Paid,Pending,2025-03-19,2025-03-25
52,2025-02-20,Customer_12,Tea,Foods,10,180,1800.0,WH-A,Rajshahi,Failed,Delivered,2025-02-22,2025-02-23
53,2025-02-19,Customer_103,Detergent,Home Care,14,500,7000.0,WH-A,Chattogram,Failed,Delivered,2025-02-23,2025-02-27
54,2025-02-26,Customer_246,Ice Cream,Foods,4,350,1400.0,WH-C,Sylhet,Pending,Delivered,2025-02-28,2025-03-07
55,2025-04-27,Customer_119,Lotion,Beauty,8,120,960.0,WH-C,Sylhet,Failed,Cancelled,2025-04-29,2025-05-06
56,2025-05-10,Customer_233,Ice Cream,Foods,15,500,7500.0,WH-C,Rajshahi,Paid,Dispatched,2025-05-14,2025-05-21
57,2025-06-13,Customer_200,Detergent,Home Care,9,180,1620.0,WH-C,Rajshahi,Failed,Pending,2025-06-16,2025-06-23
58,2025-03-15,Customer_86,Toothpaste,Personal Care,15,120,1800.0,WH-B,Sylhet,Paid,Pending,2025-03-17,2025-03-20
59,2025-06-27,Customer_55,Shampoo,Personal Care,8,350,2800.0,WH-A,Rajshahi,Pending,Cancelled,2025-06-29,2025-07-05
60,2025-01-16,Customer_108,Lotion,Beauty,15,350,5250.0,WH-B,Sylhet,Failed,Delivered,2025-01-18,2025-01-25
61,2025-05-03,Customer_77,Ice Cream,Foods,19,350,6650.0,WH-B,Rajshahi,Failed,Pending,2025-05-04,2025-05-07
62,2025-04-22,Customer_100,Detergent,Home Care,8,250,2000.0,WH-B,Rajshahi,Failed,Pending,2025-04-26,2025-04-27
63,2025-06-09,Customer_233,Ice Cream,Foods,15,180,2700.0,WH-B,Sylhet,Failed,Delivered,2025-06-14,2025-06-15
64,2025-04-29,Customer_67,Soap,Personal Care,14,180,2520.0,WH-B,Khulna,Paid,Dispatched,2025-05-01,2025-05-02
65,2025-03-13,Customer_214,Toothpaste,Personal Care,11,350,3850.0,WH-A,Rajshahi,Paid,Delivered,2025-03-17,2025-03-20
66,2025-06-16,Customer_8,Toothpaste,Personal Care,8,120,960.0,WH-A,Chattogram,Paid,Pending,2025-06-17,2025-06-24
67,2025-06-21,Customer_243,Shampoo,Personal Care,5,350,1750.0,WH-A,Rajshahi,Failed,Cancelled,2025-06-22,2025-06-27
68,2025-06-05,Customer_184,Ice Cream,Foods,12,180,2160.0,WH-A,Chattogram,Pending,Delivered,2025-06-10,2025-06-16
69,2025-05-28,Customer_242,Lotion,Beauty,1,250,250.0,WH-C,Chattogram,Paid,Pending,2025-06-01,2025-06-05
70,2025-01-31,Customer_11,Soap,Personal Care,10,500,5000.0,WH-B,Sylhet,Pending,Cancelled,2025-02-05,2025-02-12
71,2025-01-04,Customer_126,Soap,Personal Care,17,250,4250.0,WH-A,Rajshahi,Pending,Dispatched,2025-01-08,2025-01-15
72,2025-02-15,Customer_70,Tea,Foods,5,350,1750.0,WH-C,Sylhet,Pending,Dispatched,2025-02-20,2025-02-26
73,2025-03-24,Customer_240,Detergent,Home Care,19,250,4750.0,WH-A,Khulna,Pending,Pending,2025-03-26,2025-04-02
74,2025-06-06,Customer_8,Ice Cream,Foods,15,500,7500.0,WH-B,Khulna,Paid,Dispatched,2025-06-10,2025-06-13
75,2025-03-29,Customer_180,Shampoo,Personal Care,12,250,3000.0,WH-B,Sylhet,Paid,Pending,2025-04-01,2025-04-06
76,2025-05-06,Customer_62,Soap,Personal Care,8,350,2800.0,WH-C,Rajshahi,Failed,Dispatched,2025-05-11,2025-05-18
77,2025-03-17,Customer_178,Detergent,Home Care,1,120,120.0,WH-A,Khulna,Failed,Cancelled,2025-03-19,2025-03-23
78,2025-03-30,Customer_141,Detergent,Home Care,18,500,9000.0,WH-B,Khulna,Failed,Dispatched,2025-04-03,2025-04-09
79,2025-03-01,Customer_50,Toothpaste,Personal Care,10,250,2500.0,WH-B,Dhaka,Failed,Pending,2025-03-02,2025-03-08
80,2025-03-12,Customer_135,Shampoo,Personal Care,7,350,2450.0,WH-C,Khulna,Paid,Pending,2025-03-17,2025-03-24
81,2025-02-15,Customer_182,Toothpaste,Personal Care,8,250,2000.0,WH-C,Chattogram,Pending,Delivered,2025-02-18,2025-02-19
82,2025-06-28,Customer_223,Soap,Personal Care,18,250,4500.0,WH-B,Dhaka,Paid,Cancelled,2025-06-30,2025-07-06
83,2025-03-29,Customer_65,Detergent,Home Care,16,350,5600.0,WH-B,Dhaka,Paid,Dispatched,2025-03-31,2025-04-01
84,2025-06-11,Customer_39,Detergent,Home Care,3,500,1500.0,WH-C,Khulna,Paid,Pending,2025-06-12,2025-06-14
85,2025-06-05,Customer_159,Soap,Personal Care,18,350,6300.0,WH-A,Sylhet,Pending,Dispatched,2025-06-10,2025-06-17
86,2025-04-20,Customer_159,Detergent,Home Care,10,500,5000.0,WH-A,Sylhet,Failed,Delivered,2025-04-23,2025-04-28
87,2025-03-09,Customer_62,Ice Cream,Foods,7,180,1260.0,WH-A,Sylhet,Paid,Pending,2025-03-10,2025-03-12
88,2025-06-26,Customer_75,Soap,Personal Care,14,350,4900.0,WH-A,Chattogram,Pending,Cancelled,2025-07-01,2025-07-05
89,2025-06-25,Customer_202,Tea,Foods,15,120,1800.0,WH-C,Sylhet,Failed,Pending,2025-06-27,2025-06-30
90,2025-02-27,Customer_212,Detergent,Home Care,4,500,2000.0,WH-A,Dhaka,Paid,Pending,2025-03-01,2025-03-04
91,2025-05-26,Customer_32,Ice Cream,Foods,10,500,5000.0,WH-B,Khulna,Failed,Dispatched,2025-05-29,2025-06-02
92,2025-05-07,Customer_154,Toothpaste,Personal Care,17,500,8500.0,WH-A,Rajshahi,Failed,Cancelled,2025-05-11,2025-05-12
93,2025-01-24,Customer_215,Lotion,Beauty,9,120,1080.0,WH-C,Sylhet,Paid,Cancelled,2025-01-26,2025-02-01
94,2025-05-01,Customer_114,Lotion,Beauty,2,180,360.0,WH-B,Chattogram,Failed,Dispatched,2025-05-06,2025-05-12
95,2025-05-01,Customer_86,Tea,Foods,16,120,1920.0,WH-B,Dhaka,Paid,Cancelled,2025-05-04,2025-05-08
96,2025-06-19,Customer_195,Detergent,Home Care,16,250,4000.0,WH-C,Dhaka,Pending,Delivered,2025-06-23,2025-06-30
97,2025-01-30,Customer_132,Toothpaste,Personal Care,9,250,2250.0,WH-A,Sylhet,Pending,Dispatched,2025-02-03,2025-02-10
98,2025-04-03,Customer_128,Soap,Personal Care,7,500,3500.0,WH-C,Rajshahi,Paid,Pending,2025-04-08,2025-04-15
99,2025-03-15,Customer_125,Toothpaste,Personal Care,18,180,3240.0,,Dhaka,Failed,Pending,2025-03-19,2025-03-25
100,2025-05-22,Customer_105,Tea,Foods,6,250,1500.0,WH-A,Chattogram,Paid,Dispatched,2025-05-23,2025-05-28
101,2025-03-16,Customer_70,Soap,Personal Care,5,350,1750.0,WH-B,Rajshahi,,Pending,2025-03-21,2025-03-27
102,2025-04-09,Customer_131,Detergent,Home Care,18,180,3240.0,WH-C,Chattogram,Paid,Cancelled,2025-04-11,2025-04-16
103,2025-05-10,Customer_1,Ice Cream,Foods,14,250,3500.0,WH-B,Khulna,Failed,Dispatched,2025-05-13,2025-05-20
104,2025-05-18,Customer_86,Ice Cream,Foods,5,350,1750.0,WH-C,Sylhet,Pending,Dispatched,2025-05-22,2025-05-25
105,2025-05-27,Customer_220,Toothpaste,Personal Care,7,180,1260.0,WH-B,Dhaka,Pending,Dispatched,2025-05-31,2025-06-02
106,2025-06-19,Customer_247,Tea,Foods,13,350,4550.0,WH-A,Chattogram,Failed,Cancelled,2025-06-21,2025-06-25
107,2025-01-26,Customer_4,Ice Cream,Foods,4,350,1400.0,WH-C,Chattogram,,Pending,2025-01-31,2025-02-04
108,2025-03-28,Customer_102,Soap,Personal Care,16,250,,WH-C,Dhaka,Pending,Dispatched,2025-04-02,2025-04-08
109,2025-01-10,Customer_61,Toothpaste,Personal Care,16,500,8000.0,WH-C,Khulna,Paid,Delivered,2025-01-15,2025-01-16
110,2025-04-24,Customer_77,Detergent,Home Care,4,120,480.0,WH-A,Dhaka,Pending,Delivered,2025-04-26,2025-05-02
111,2025-04-21,Customer_136,Toothpaste,Personal Care,12,250,3000.0,WH-B,Sylhet,Failed,Pending,2025-04-23,2025-04-25
112,2025-06-06,Customer_175,Shampoo,Personal Care,6,120,720.0,WH-A,Rajshahi,Failed,Pending,2025-06-10,2025-06-15
113,2025-04-28,Customer_3,Shampoo,Personal Care,15,250,3750.0,WH-B,Khulna,Failed,Pending,2025-05-01,2025-05-07
114,2025-05-31,Customer_247,Soap,Personal Care,15,250,3750.0,WH-B,Khulna,Pending,Cancelled,2025-06-03,2025-06-09
115,2025-01-28,Customer_147,Shampoo,Personal Care,13,350,4550.0,WH-B,Sylhet,Pending,Cancelled,2025-01-30,2025-02-03
116,2025-01-03,Customer_176,Soap,Personal Care,13,250,3250.0,WH-C,Dhaka,,Dispatched,2025-01-08,2025-01-15
117,2025-06-05,Customer_163,Ice Cream,Foods,10,180,1800.0,WH-A,Sylhet,Pending,Pending,2025-06-08,2025-06-10
118,2025-03-21,Customer_149,Tea,Foods,4,120,480.0,WH-B,Chattogram,Paid,Cancelled,2025-03-25,2025-03-26
119,2025-02-21,Customer_139,Toothpaste,Personal Care,14,180,2520.0,WH-B,Sylhet,Failed,Cancelled,2025-02-23,2025-03-02
120,2025-05-04,Customer_223,Ice Cream,Foods,6,250,1500.0,WH-B,Dhaka,Pending,Delivered,2025-05-07,2025-05-13
121,2025-05-23,Customer_203,Shampoo,Personal Care,8,350,2800.0,,Dhaka,Pending,Delivered,2025-05-26,2025-05-27
122,2025-05-30,Customer_164,Detergent,Home Care,12,250,3000.0,WH-B,Dhaka,Failed,Pending,2025-06-03,2025-06-10
123,2025-05-24,Customer_57,Detergent,Home Care,1,500,500.0,WH-C,Dhaka,,Dispatched,2025-05-27,2025-06-01
124,2025-01-30,Customer_243,Tea,Foods,10,350,3500.0,WH-A,Khulna,Pending,Delivered,2025-02-01,2025-02-02
125,2025-02-04,Customer_95,Soap,Personal Care,8,500,4000.0,WH-C,Sylhet,Pending,Pending,2025-02-08,2025-02-12
126,2025-06-07,Customer_9,Detergent,Home Care,4,350,1400.0,WH-C,Khulna,Paid,Dispatched,2025-06-11,2025-06-14
127,2025-01-26,Customer_231,Detergent,Home Care,8,250,2000.0,WH-C,Khulna,Paid,Dispatched,2025-01-29,2025-02-03
128,2025-04-27,Customer_55,Toothpaste,Personal Care,7,120,840.0,WH-C,Sylhet,Paid,Delivered,2025-04-28,2025-05-04
129,2025-02-02,Customer_18,Ice Cream,Foods,11,180,1980.0,WH-C,Chattogram,Failed,Pending,2025-02-07,2025-02-09
130,2025-02-07,Customer_71,Ice Cream,Foods,8,250,2000.0,WH-A,Chattogram,Failed,Cancelled,2025-02-12,2025-02-13
131,2025-06-19,Customer_4,Ice Cream,Foods,6,120,720.0,WH-B,Chattogram,Failed,Cancelled,2025-06-20,2025-06-22
132,2025-01-14,Customer_108,Soap,Personal Care,6,250,1500.0,WH-C,Dhaka,Failed,Delivered,2025-01-16,2025-01-22
133,2025-05-12,Customer_116,Detergent,Home Care,15,250,3750.0,WH-C,Chattogram,Failed,Delivered,2025-05-17,2025-05-18
134,2025-04-28,Customer_123,Tea,Foods,17,250,4250.0,WH-B,Rajshahi,Failed,Delivered,2025-04-29,2025-04-30
135,2025-01-21,Customer_38,Detergent,Home Care,15,120,1800.0,WH-A,Chattogram,Pending,Cancelled,2025-01-24,2025-01-29
136,2025-03-17,Customer_155,Detergent,Home Care,20,500,10000.0,WH-B,Dhaka,Failed,Delivered,2025-03-21,2025-03-26
137,2025-04-21,Customer_106,Ice Cream,Foods,18,180,3240.0,WH-B,Rajshahi,Pending,Dispatched,2025-04-25,2025-04-27
138,2025-04-20,Customer_66,Tea,Foods,4,250,1000.0,WH-B,Chattogram,Failed,Dispatched,2025-04-23,2025-04-29
139,2025-01-24,Customer_191,Soap,Personal Care,3,120,360.0,WH-C,Khulna,Paid,Delivered,2025-01-28,2025-01-29
140,2025-03-26,Customer_91,Lotion,Beauty,18,500,9000.0,WH-C,Rajshahi,Failed,Delivered,2025-03-27,2025-03-31
141,2025-04-01,Customer_130,Toothpaste,Personal Care,20,250,5000.0,WH-A,Chattogram,Failed,Dispatched,2025-04-02,2025-04-07
142,2025-05-23,Customer_196,Shampoo,Personal Care,4,250,1000.0,WH-B,Sylhet,Paid,Dispatched,2025-05-26,2025-05-27
143,2025-06-07,Customer_156,Ice Cream,Foods,18,500,9000.0,WH-C,Khulna,Paid,Pending,2025-06-12,2025-06-13
144,2025-03-31,Customer_223,Toothpaste,Personal Care,10,250,2500.0,WH-A,Sylhet,Failed,Dispatched,2025-04-01,2025-04-03
145,2025-01-24,Customer_97,Soap,Personal Care,5,120,600.0,WH-B,Rajshahi,Pending,Pending,2025-01-29,2025-01-31
146,2025-05-26,Customer_227,Toothpaste,Personal Care,10,250,2500.0,WH-A,Chattogram,Paid,Delivered,2025-05-31,2025-06-01
147,2025-04-24,Customer_156,Tea,Foods,3,250,750.0,WH-B,Rajshahi,Pending,Pending,2025-04-28,2025-05-02
148,2025-03-30,Customer_73,Ice Cream,Foods,17,120,2040.0,WH-C,Sylhet,Pending,Cancelled,2025-04-03,2025-04-04
149,2025-06-03,Customer_53,Soap,Personal Care,8,350,2800.0,WH-B,Chattogram,Paid,Cancelled,2025-06-04,2025-06-05
150,2025-01-02,Customer_111,Toothpaste,Personal Care,11,120,1320.0,WH-A,Chattogram,Pending,Pending,2025-01-06,2025-01-12
151,2025-01-19,Customer_190,Lotion,Beauty,18,250,4500.0,WH-A,Rajshahi,Paid,Dispatched,2025-01-23,2025-01-30
152,2025-04-20,Customer_182,Soap,Personal Care,11,500,5500.0,WH-C,Rajshahi,Pending,Delivered,2025-04-25,2025-04-29
153,2025-02-13,Customer_213,Detergent,Home Care,1,250,250.0,WH-C,Khulna,Paid,Dispatched,2025-02-18,2025-02-22
154,2025-04-22,Customer_135,Ice Cream,Foods,4,180,720.0,WH-A,Rajshahi,Pending,Cancelled,2025-04-27,2025-05-01
155,2025-01-20,Customer_30,Shampoo,Personal Care,11,180,1980.0,WH-C,Sylhet,Paid,Cancelled,2025-01-25,2025-01-31
156,2025-01-27,Customer_51,Toothpaste,Personal Care,5,180,900.0,WH-A,Sylhet,Paid,Delivered,2025-01-29,2025-02-01
157,2025-05-25,Customer_175,Shampoo,Personal Care,16,350,5600.0,WH-C,Sylhet,Pending,Cancelled,2025-05-30,2025-06-03
158,2025-05-01,Customer_78,Shampoo,Personal Care,15,120,1800.0,WH-B,Sylhet,Paid,Cancelled,2025-05-05,2025-05-11
159,2025-04-29,Customer_15,Lotion,Beauty,3,250,750.0,WH-B,Khulna,Paid,Delivered,2025-05-03,2025-05-04
160,2025-04-09,Customer_142,Lotion,Beauty,20,500,10000.0,WH-C,Dhaka,Pending,Pending,2025-04-13,2025-04-18
161,2025-05-09,Customer_116,Toothpaste,Personal Care,20,350,7000.0,WH-A,Khulna,Failed,Delivered,2025-05-11,2025-05-12
162,2025-03-05,Customer_135,Lotion,Beauty,6,120,720.0,WH-C,Sylhet,Paid,Cancelled,2025-03-09,2025-03-13
163,2025-04-15,Customer_154,Toothpaste,Personal Care,10,350,3500.0,WH-A,Khulna,Paid,Cancelled,2025-04-18,2025-04-24
164,2025-03-14,Customer_219,Soap,Personal Care,18,350,6300.0,WH-C,Sylhet,Paid,Cancelled,2025-03-17,2025-03-23
165,2025-03-31,Customer_179,Soap,Personal Care,19,180,3420.0,WH-C,Rajshahi,Paid,Delivered,2025-04-03,2025-04-09
166,2025-06-14,Customer_33,Toothpaste,Personal Care,18,350,6300.0,WH-C,Sylhet,Paid,Dispatched,2025-06-17,2025-06-24
167,2025-04-03,Customer_244,Lotion,Beauty,12,120,1440.0,WH-A,Khulna,Pending,Pending,2025-04-06,2025-04-08
168,2025-01-20,Customer_202,Shampoo,Personal Care,5,180,900.0,WH-A,Sylhet,Failed,Delivered,2025-01-23,2025-01-30
169,2025-02-03,Customer_40,Tea,Foods,11,500,5500.0,WH-A,Chattogram,Failed,Pending,2025-02-08,2025-02-12
170,2025-04-16,Customer_185,Tea,Foods,15,120,1800.0,WH-A,Rajshahi,Failed,Cancelled,2025-04-19,2025-04-25
171,2025-05-17,Customer_248,Ice Cream,Foods,15,180,2700.0,WH-B,Chattogram,Pending,Dispatched,2025-05-19,2025-05-22
172,2025-05-09,Customer_248,Detergent,Home Care,10,350,3500.0,WH-A,Chattogram,Failed,Pending,2025-05-14,2025-05-18
173,2025-06-14,Customer_96,Ice Cream,Foods,9,120,1080.0,WH-C,Dhaka,Failed,Delivered,2025-06-18,2025-06-25
174,2025-03-11,Customer_38,Toothpaste,Personal Care,3,180,540.0,WH-B,Dhaka,Paid,Dispatched,2025-03-15,2025-03-20
175,2025-01-14,Customer_96,Toothpaste,Personal Care,1,350,350.0,WH-A,Rajshahi,Paid,Cancelled,2025-01-18,2025-01-23
176,2025-01-26,Customer_38,Shampoo,Personal Care,1,250,250.0,WH-A,Dhaka,Pending,Dispatched,2025-01-29,2025-02-05
177,2025-04-25,Customer_232,Tea,Foods,5,350,1750.0,WH-A,Dhaka,Pending,Pending,2025-04-30,2025-05-01
178,2025-06-05,Customer_29,Ice Cream,Foods,5,500,2500.0,WH-B,Chattogram,Pending,Delivered,2025-06-10,2025-06-14
179,2025-06-13,Customer_17,Soap,Personal Care,8,350,2800.0,WH-A,Rajshahi,Failed,Delivered,2025-06-18,2025-06-22
180,2025-03-03,Customer_110,Tea,Foods,17,500,8500.0,WH-A,Sylhet,Pending,Pending,2025-03-05,2025-03-08
181,2025-06-20,Customer_250,Lotion,Beauty,14,180,2520.0,WH-B,Dhaka,Failed,Delivered,2025-06-21,2025-06-26
182,2025-06-12,Customer_65,Detergent,Home Care,16,120,1920.0,WH-C,Dhaka,Pending,Delivered,2025-06-16,2025-06-19
183,2025-05-29,Customer_12,Toothpaste,Personal Care,8,120,960.0,WH-B,Sylhet,Pending,Pending,2025-06-01,2025-06-03
184,2025-06-11,Customer_35,Ice Cream,Foods,15,350,5250.0,WH-A,Rajshahi,Paid,Cancelled,2025-06-13,2025-06-20
185,2025-01-11,Customer_132,Shampoo,Personal Care,2,180,360.0,WH-B,Sylhet,Pending,Cancelled,2025-01-14,2025-01-17
186,2025-04-02,Customer_168,Soap,Personal Care,7,250,1750.0,WH-B,Khulna,Paid,Cancelled,2025-04-03,2025-04-10
187,2025-04-09,Customer_128,Detergent,Home Care,13,350,4550.0,WH-C,Rajshahi,Pending,Cancelled,2025-04-12,2025-04-14
188,2025-01-21,Customer_211,Ice Cream,Foods,3,350,1050.0,WH-A,Sylhet,Pending,Cancelled,2025-01-25,2025-01-30
189,2025-06-19,Customer_115,Soap,Personal Care,3,250,750.0,WH-C,Rajshahi,Paid,Dispatched,2025-06-22,2025-06-25
190,2025-04-01,Customer_71,Toothpaste,Personal Care,15,120,1800.0,WH-C,Dhaka,Paid,Dispatched,2025-04-06,2025-04-10
191,2025-01-08,Customer_156,Toothpaste,Personal Care,17,180,3060.0,WH-C,Rajshahi,Paid,Pending,2025-01-10,2025-01-17
192,2025-04-03,Customer_9,Soap,Personal Care,8,250,2000.0,WH-C,Chattogram,Failed,Dispatched,2025-04-07,2025-04-12
193,2025-01-20,Customer_136,Toothpaste,Personal Care,12,350,4200.0,WH-B,Rajshahi,Pending,Cancelled,2025-01-25,2025-01-27
194,2025-02-17,Customer_100,Shampoo,Personal Care,4,120,480.0,WH-C,Dhaka,Pending,Cancelled,2025-02-21,2025-02-26
195,2025-06-06,Customer_235,Tea,Foods,15,180,2700.0,WH-B,Chattogram,Paid,Pending,2025-06-09,2025-06-15
196,2025-02-14,Customer_208,Ice Cream,Foods,3,350,1050.0,WH-C,Khulna,Failed,Cancelled,2025-02-18,2025-02-19
197,2025-05-19,Customer_218,Tea,Foods,3,500,1500.0,WH-A,Chattogram,Pending,Pending,2025-05-22,2025-05-25
198,2025-03-02,Customer_93,Soap,Personal Care,7,180,1260.0,WH-C,Sylhet,Pending,Dispatched,2025-03-06,2025-03-07
199,2025-06-06,Customer_80,Ice Cream,Foods,18,180,3240.0,WH-B,Rajshahi,Failed,Dispatched,2025-06-07,2025-06-08
200,2025-01-19,Customer_165,Ice Cream,Foods,14,500,7000.0,WH-A,Rajshahi,Pending,Cancelled,2025-01-21,2025-01-24
201,2025-02-16,Customer_129,Shampoo,Personal Care,18,500,9000.0,WH-A,Dhaka,Failed,Pending,2025-02-18,2025-02-22
202,2025-03-24,Customer_243,Toothpaste,Personal Care,6,180,1080.0,WH-C,Khulna,Paid,Cancelled,2025-03-26,2025-03-29
